Date,City,Temp,wind speed,pressure, Humidity
2022-01-01,Greater Noida,11.4,2.8,1022.4,27
2022-01-02,Greater Noida,12.1,2.2,1021,32
2022-01-03,Greater Noida,13.2,2.6,1018.9,44
2022-01-04,Greater Noida,15.2,1.7,1017.6,41
2022-01-05,Greater Noida,13.3,3.9,1016.8,47
2022-01-06,Greater Noida,16.2,5.4,1016.8,56
2022-01-07,Greater Noida,17,8.1,1016.2,60
2022-01-08,Greater Noida,15.7,8.4,1015.9,60
2022-01-09,Greater Noida,13.6,6.1,1015.6,68
2022-01-10,Greater Noida,12.6,4.3,1018,68
2022-01-11,Greater Noida,12.2,4.8,1018.5,68
2022-01-12,Greater Noida,12.2,3.8,1017.6,64
2022-01-13,Greater Noida,11.5,1.1,1017.8,60
2022-01-14,Greater Noida,10.9,1.8,1018.7,60
2022-01-15,Greater Noida,10.7,3.4,1020.1,52
2022-01-16,Greater Noida,11.2,3.8,1020.8,46
2022-01-17,Greater Noida,11.2,3.9,1021.6,44
2022-01-18,Greater Noida,11.1,5.6,1019.6,39
2022-01-19,Greater Noida,12.1,3.8,1016.5,32
2022-01-20,Greater Noida,13,3.3,1012.3,29
2022-01-21,Greater Noida,13,2.8,1012.3,24
2022-01-22,Greater Noida,13.1,9,1007.8,22
2022-01-23,Greater Noida,12.3,4.2,1010.2,22
2022-01-24,Greater Noida,11,2.8,1014.2,25
2022-01-25,Greater Noida,10.7,5.7,1015.4,34
2022-01-26,Greater Noida,11.1,5.4,1016.2,41
2022-01-27,Greater Noida,11.9,7.2,1017.3,53
2022-01-28,Greater Noida,12.3,9.1,1017.1,56
2022-01-29,Greater Noida,12.9,4.5,1017.1,64
2022-01-30,Greater Noida,14.2,8.8,1012.7,60
2022-01-31,Greater Noida,14.4,3.3,1011.9,64
2022-02-01,Greater Noida,14.3,4.7,1011.4,60
2022-02-02,Greater Noida,14.4,7.1,1011,68
2022-02-03,Greater Noida,13.1,11.5,1007.6,68
2022-02-04,Greater Noida,13.6,7.1,1009.6,72
2022-02-05,Greater Noida,13.5,2.4,1014,72
2022-02-06,Greater Noida,13.4,1.9,1016,68
2022-02-07,Greater Noida,16.6,3.3,1014.8,72
2022-02-08,Greater Noida,18.2,2.3,1013.1,63
2022-02-09,Greater Noida,16.5,5.4,1015,64
2022-02-10,Greater Noida,16.1,6.6,1017.6,53
2022-02-11,Greater Noida,15,8.8,1016.2,60
2022-02-12,Greater Noida,15.5,6.6,1014.7,44
2022-02-13,Greater Noida,16.7,2.7,1013.5,30
2022-02-14,Greater Noida,17.2,2.8,1013.5,35
2022-02-15,Greater Noida,17.6,2.4,1013.3,33
2022-02-16,Greater Noida,17.5,2.6,1011.3,33
2022-02-17,Greater Noida,17.8,3.2,1011.1,39
2022-02-18,Greater Noida,18.2,3.9,1012.3,42
2022-02-19,Greater Noida,18.3,4.8,1013.6,60
2022-02-20,Greater Noida,17.7,9.7,1008.4,57
2022-02-21,Greater Noida,17.5,5.8,1008.1,60
2022-02-22,Greater Noida,18.5,10.9,1010,56
2022-02-23,Greater Noida,19.3,6.6,1013.9,64
2022-02-24,Greater Noida,19,3.5,1015.4,60
2022-02-25,Greater Noida,19.6,3.9,1015.7,64
2022-02-26,Greater Noida,19.2,12,1016.9,68
2022-02-27,Greater Noida,19.3,4,1018.2,64
2022-02-28,Greater Noida,18.9,6.3,1016.6,77
2022-03-01,Greater Noida,17.8,4,1016.8,77
2022-03-02,Greater Noida,18.6,3.7,1016.5,68
2022-03-03,Greater Noida,21.1,3.2,1015,77
2022-03-04,Greater Noida,20.4,7.3,1015.8,68
2022-03-05,Greater Noida,20.1,9.6,1014.3,60
2022-03-06,Greater Noida,20.1,3.9,1013.1,42
2022-03-07,Greater Noida,21.4,2.8,1014.3,37
2022-03-08,Greater Noida,22.3,4,1013.7,32
2022-03-09,Greater Noida,22.7,4.8,1012.5,27
2022-03-10,Greater Noida,22.9,7.1,1012.3,29
2022-03-11,Greater Noida,23.1,6.9,1012.4,25
2022-03-12,Greater Noida,23.5,8.3,1010.9,34
2022-03-13,Greater Noida,24.2,4.9,1010.4,39
2022-03-14,Greater Noida,25.2,3.6,1009.8,44
2022-03-15,Greater Noida,27,4.9,1007,46
2022-03-16,Greater Noida,28.2,10.1,1004.5,46
2022-03-17,Greater Noida,28.2,3.8,1005.2,59
2022-03-18,Greater Noida,28.6,5.3,1006.5,64
2022-03-19,Greater Noida,28.4,3.3,1004.7,68
2022-03-20,Greater Noida,29.3,3.9,1003,38
2022-03-21,Greater Noida,28.2,4.6,1005.1,34
2022-03-22,Greater Noida,28,8.9,1006,27
2022-03-23,Greater Noida,28,5.2,1006.1,23
2022-03-24,Greater Noida,27.8,5.7,1004.5,25
2022-03-25,Greater Noida,27.1,7.3,1005.7,30
