Date,City,NO2_ground
2022-01-01,Greater Noida,66.19
2022-01-02,Greater Noida,95.55
2022-01-03,Greater Noida,90.79
2022-01-04,Greater Noida,91.07
2022-01-05,Greater Noida,87.15
2022-01-06,Greater Noida,65.86
2022-01-07,Greater Noida,38.85
2022-01-08,Greater Noida,52.31
2022-01-09,Greater Noida,64.33
2022-01-10,Greater Noida,59.2
2022-01-11,Greater Noida,67.72
2022-01-12,Greater Noida,79.35
2022-01-13,Greater Noida,85.07
2022-01-14,Greater Noida,84.75
2022-01-15,Greater Noida,63.97
2022-01-16,Greater Noida,60.94
2022-01-17,Greater Noida,51.44
2022-01-18,Greater Noida,66.94
2022-01-19,Greater Noida,55.95
2022-01-20,Greater Noida,63.7
2022-01-21,Greater Noida,63.36
2022-01-22,Greater Noida,63.71
2022-01-23,Greater Noida,67.27
2022-01-24,Greater Noida,92.12
2022-01-25,Greater Noida,88.02
2022-01-26,Greater Noida,50.39
2022-01-27,Greater Noida,42.24
2022-01-28,Greater Noida,45.82
2022-01-29,Greater Noida,46.68
2022-01-30,Greater Noida,65.43
2022-01-31,Greater Noida,82.78
2022-02-01,Greater Noida,64.08
2022-02-02,Greater Noida,93.86
2022-02-03,Greater Noida,88.38
2022-02-04,Greater Noida,62.01
2022-02-05,Greater Noida,49.57
2022-02-06,Greater Noida,60.62
2022-02-07,Greater Noida,55.29
2022-02-08,Greater Noida,69.98
2022-02-09,Greater Noida,67.24
2022-02-10,Greater Noida,62.77
2022-02-11,Greater Noida,58.31
2022-02-12,Greater Noida,56.97
2022-02-13,Greater Noida,73.3
2022-02-14,Greater Noida,81.51
2022-02-15,Greater Noida,82.14
2022-02-16,Greater Noida,78.82
2022-02-17,Greater Noida,72.55
2022-02-18,Greater Noida,71.98
2022-02-19,Greater Noida,68.84
2022-02-20,Greater Noida,67.45
2022-02-21,Greater Noida,60.72
2022-02-22,Greater Noida,65.62
2022-02-23,Greater Noida,55.22
2022-02-24,Greater Noida,42.2
2022-02-25,Greater Noida,46.64
2022-02-26,Greater Noida,59.34
2022-02-27,Greater Noida,72.8
2022-02-28,Greater Noida,94.66
2022-03-01,Greater Noida,79.46
