Date,City,NO2_ground
2022-03-13,Greater Noida,27.78
2022-07-01,Greater Noida,17.4
2022-07-02,Greater Noida,11.37
2022-07-03,Greater Noida,20.06
2022-07-04,Greater Noida,19.37
2022-07-05,Greater Noida,14.86
2022-07-06,Greater Noida,18.32
2022-07-07,Greater Noida,18.21
2022-07-08,Greater Noida,23.52
2022-07-09,Greater Noida,21.16
2022-07-10,Greater Noida,18.81
2022-07-11,Greater Noida,21.44
2022-07-12,Greater Noida,19.98
2022-07-13,Greater Noida,21.59
2022-07-21,Greater Noida,23.67
2022-07-22,Greater Noida,19.9
2022-07-23,Greater Noida,18.22
2022-07-24,Greater Noida,19.95
2022-07-25,Greater Noida,18.1
2022-07-26,Greater Noida,21.95
2022-07-27,Greater Noida,25.33
2022-07-28,Greater Noida,24.07
2022-07-29,Greater Noida,22.87
2022-07-30,Greater Noida,20.58
2022-07-31,Greater Noida,26.19
2022-08-01,Greater Noida,23.4
2022-08-02,Greater Noida,26.54
2022-08-03,Greater Noida,29.16
2022-08-08,Greater Noida,29.91
2022-08-21,Greater Noida,24.42
2022-08-28,Greater Noida,27.89
2022-09-01,Greater Noida,26.64
2022-09-02,Greater Noida,26.09
2022-09-03,Greater Noida,27.32
2022-09-04,Greater Noida,25.85
2022-09-07,Greater Noida,23.75
2022-09-08,Greater Noida,16.52
2022-09-09,Greater Noida,17.54
2022-09-10,Greater Noida,19.76
2022-09-11,Greater Noida,20.25
2022-09-12,Greater Noida,16.56
2022-09-20,Greater Noida,21.49
2022-09-21,Greater Noida,22.74
2022-09-22,Greater Noida,22.4
2022-09-23,Greater Noida,18.63
2022-09-24,Greater Noida,17.01
2022-09-25,Greater Noida,27.25
2022-09-26,Greater Noida,27.52
2022-09-27,Greater Noida,21.39
2022-09-29,Greater Noida,29.45
2022-09-30,Greater Noida,26.08
2022-10-01,Greater Noida,28.66
2022-10-02,Greater Noida,25.2
2022-10-03,Greater Noida,26.09
2022-10-04,Greater Noida,28.99
2022-10-05,Greater Noida,24.45
2022-10-06,Greater Noida,27.44
2022-10-07,Greater Noida,25.61
2022-10-08,Greater Noida,24.51
2022-10-09,Greater Noida,27.06
2022-10-13,Greater Noida,29.16
2022-10-15,Greater Noida,30.0
2022-12-16,Greater Noida,29.84
