Date,City,NO2_ground
2022-01-01,Greater Noida,19.20673264
2022-01-02,Greater Noida,23.55365074
2022-01-03,Greater Noida,22.84890517
2022-01-04,Greater Noida,22.89036079
2022-01-05,Greater Noida,22.30998208
2022-01-06,Greater Noida,19.15787423
2022-01-07,Greater Noida,15.15888724
2022-01-08,Greater Noida,17.15171823
2022-01-09,Greater Noida,18.93134887
2022-01-10,Greater Noida,18.17182264
2022-01-11,Greater Noida,19.43325801
2022-01-12,Greater Noida,21.15514689
2022-01-13,Greater Noida,22.00202603
2022-01-14,Greater Noida,21.95464817
2022-01-15,Greater Noida,18.87804878
2022-01-16,Greater Noida,18.42943973
2022-01-17,Greater Noida,17.02290969
2022-01-18,Greater Noida,19.31777449
2022-01-19,Greater Noida,17.69064132
2022-01-20,Greater Noida,18.83807372
2022-01-21,Greater Noida,18.78773475
2022-01-22,Greater Noida,18.83955427
2022-01-23,Greater Noida,19.3666329
2022-01-24,Greater Noida,23.04581937
2022-01-25,Greater Noida,22.43879062
2022-01-26,Greater Noida,16.8674511
2022-01-27,Greater Noida,15.66079638
2022-01-28,Greater Noida,16.19083613
2022-01-29,Greater Noida,16.31816411
2022-01-30,Greater Noida,19.09421024
2022-01-31,Greater Noida,21.66297826
2022-02-01,Greater Noida,18.89433492
2022-02-02,Greater Noida,23.30343645
2022-02-03,Greater Noida,22.4920907
2022-02-04,Greater Noida,18.58785942
2022-02-05,Greater Noida,16.74604535
2022-02-06,Greater Noida,18.38206187
2022-02-07,Greater Noida,17.59292449
2022-02-08,Greater Noida,19.7678641
2022-02-09,Greater Noida,19.36219123
2022-02-10,Greater Noida,18.70038183
2022-02-11,Greater Noida,18.04005299
2022-02-12,Greater Noida,17.84165822
2022-02-13,Greater Noida,20.25940934
2022-02-14,Greater Noida,21.4749474
2022-02-15,Greater Noida,21.56822255
2022-02-16,Greater Noida,21.07667732
2022-02-17,Greater Noida,20.14836749
2022-02-18,Greater Noida,20.06397569
2022-02-19,Greater Noida,19.5990805
2022-02-20,Greater Noida,19.39328294
2022-02-21,Greater Noida,18.39686745
2022-02-22,Greater Noida,19.12234084
2022-02-23,Greater Noida,17.58256059
2022-02-24,Greater Noida,15.65487415
2022-02-25,Greater Noida,16.31224188
2022-02-26,Greater Noida,18.19255046
2022-02-27,Greater Noida,20.18538144
2022-02-28,Greater Noida,23.42188109
2022-03-01,Greater Noida,21.17143302
2022-03-02,Greater Noida,19.63461389
2022-03-03,Greater Noida,17.79279981
2022-03-04,Greater Noida,18.37169797
2022-03-05,Greater Noida,18.50938985
2022-03-06,Greater Noida,19.02906569
2022-03-07,Greater Noida,19.05423517
2022-03-08,Greater Noida,16.79194265
2022-03-09,Greater Noida,15.28177355
2022-03-10,Greater Noida,14.3401387
2022-03-11,Greater Noida,14.14470506
2022-03-12,Greater Noida,14.16099119
2022-03-13,Greater Noida,13.51990961
2022-03-14,Greater Noida,14.48227227
2022-03-15,Greater Noida,15.63414634
2022-03-16,Greater Noida,15.65191304
2022-03-17,Greater Noida,15.13667887
2022-03-18,Greater Noida,16.31372243
2022-03-19,Greater Noida,17.0540014
2022-03-20,Greater Noida,16.74012312
2022-03-21,Greater Noida,17.09693758
2022-03-22,Greater Noida,19.66866672
2022-03-23,Greater Noida,19.8522559
2022-03-24,Greater Noida,21.18031637
2022-03-25,Greater Noida,21.81695628
2022-03-26,Greater Noida,21.07963843
2022-03-27,Greater Noida,21.13886075
2022-03-28,Greater Noida,22.07161225
2022-03-29,Greater Noida,20.63991273
2022-03-30,Greater Noida,20.7006156
2022-03-31,Greater Noida,21.8761786
2022-04-01,Greater Noida,21.51048079
2022-04-02,Greater Noida,20.94934933
2022-04-03,Greater Noida,21.81399517
2022-04-04,Greater Noida,20.31418998
2022-04-05,Greater Noida,18.97872672
2022-04-06,Greater Noida,19.34590509
2022-04-07,Greater Noida,20.50962363
2022-04-08,Greater Noida,20.89604925
2022-04-09,Greater Noida,19.48951921
2022-04-10,Greater Noida,20.07582015
2022-04-11,Greater Noida,20.00475337
2022-04-12,Greater Noida,18.46349256
2022-04-13,Greater Noida,22.40473779
2022-04-14,Greater Noida,25.71526533
2022-04-15,Greater Noida,24.56783293
2022-04-16,Greater Noida,24.5900413
2022-04-17,Greater Noida,24.5900413
2022-04-18,Greater Noida,22.44323229
